id,title,genres,language,duration,description,director,rating,releaseDate,isActive,tags
38151,Form body,"Animation, Thriller, Documentary","Hindi, English",133,Attorney education order child federal political reflect. Go style with present.,Greta Gerwig,9.6,2001-03-12,true,"war, future, revenge"
38152,Season my,"Action, Animation, Horror","German, Hindi",150,Technology herself particularly side language will. According travel face.,Greta Gerwig,8.8,1993-09-17,true,"time travel, crime, heist"
38153,Town affect shoulder,Comedy,Spanish,82,His possible true treatment. Yes smile take throughout.,Denis Villeneuve,1.0,2019-07-17,true,"time travel, war"
38154,Great capital,"Romance, Horror, Action",German,150,Prepare culture surface later police. News late feeling crime ask himself remember. Much show out world perhaps.,Jordan Peele,9.9,1990-09-05,true,"war, revenge"
38155,Raise worry,"Thriller, Romance",English,91,Single note improve often general chair race. Born general after beat mother party agency give.,Ava DuVernay,7.5,1986-12-29,false,"future, space, crime"
38156,Painting benefit,"Animation, Comedy, Drama","Mandarin, French",116,Pull on they least do guess. Agent simply lose key can develop American cover. Us prevent that operation of fine television.,Steven Spielberg,8.4,2016-04-09,true,"love, crime, family"
38157,These,Thriller,"German, Korean",105,Always alone part forward stand figure room reach. Staff woman computer at practice certainly decade.,Jordan Peele,7.3,2023-06-08,true,"heist, time travel, survival"
38158,Film group different,"Sci-Fi, Action",English,148,Sure enough best economy get. Energy now tonight black white speak.,Taika Waititi,3.9,1985-02-01,true,"war, revenge"
38159,Child any,"Drama, Sci-Fi",French,119,Teacher if show arm pick bring. Stop society until week environmental able. Face staff same number board important.,Ridley Scott,5.1,1991-10-01,true,crime
38160,Upon door,"Romance, Animation","German, Japanese",90,Stop recently ground big image theory relate case. Trouble exactly once account. Product specific local service simply care election story.,Ridley Scott,4.3,2011-07-11,true,"family, friendship, war"
38161,Dark specific clearly,"Adventure, Romance, Comedy","Korean, German",142,Card it explain wind seem. Control most nice building democratic. Sense often training beat contain name.,Sofia Coppola,9.9,2015-01-05,true,"time travel, love"
38162,Task woman,"Adventure, Sci-Fi","German, Mandarin",144,Focus drop so receive growth task professor. Story learn agency choice. Difficult some now campaign none.,Denis Villeneuve,5.9,2010-11-20,true,"crime, space, love"
38163,Recent move,"Animation, Romance, Comedy","Spanish, German",174,Part white staff half voice world. Hand might imagine social image happen.,Christopher Nolan,3.5,2007-09-30,true,love
38164,Happy pattern they,Animation,French,80,Focus return market professor guess charge. Yeah fall Democrat after oil far. People work end treat fire star break. Much price memory herself.,James Cameron,3.0,1999-03-16,true,"heist, love, family"
38165,Moment affect bag,"Romance, Documentary, Adventure","Hindi, German",170,Give development support. Entire art in after. Financial which thought sing writer.,Ava DuVernay,9.1,2004-08-31,true,"friendship, family, war"
38166,Treatment whom,"Horror, Sci-Fi",Japanese,143,Go name work stop trip treat. Hospital quite bad participant pattern. Play local respond star describe.,Ridley Scott,9.9,2018-05-14,false,family
38167,Indeed around admit bed,"Comedy, Documentary","Hindi, Japanese",161,Citizen time responsibility not foot. Person skin lose.,Steven Spielberg,2.5,2015-03-01,true,"future, underdog"
38168,Major,Horror,"Japanese, French",147,Hear visit clear law traditional station positive. That close listen other rise section.,Bong Joon-ho,3.3,1997-03-16,true,"time travel, family"
38169,Chance sign threat old,Action,"English, Korean",169,Than value bank soldier memory capital. Study produce industry.,James Cameron,8.5,2016-08-18,true,family
38170,Of either,Adventure,"Spanish, Hindi",142,Either relationship question break economy talk. Head agreement outside keep find.,Denis Villeneuve,4.3,2005-08-25,true,"space, underdog, future"
38171,Value himself plant water,Romance,German,82,Any case take alone. Him bit human his nature sell yourself. Specific notice law who own although much address.,Taika Waititi,5.8,2017-03-08,false,war
38172,Total surface happy,"Thriller, Sci-Fi, Horror","Japanese, French",139,Present significant store above record. Morning wait story politics like leg personal.,Denis Villeneuve,6.8,2007-06-10,true,"time travel, survival"
38173,Hit participant,"Adventure, Sci-Fi, Animation",English,89,Draw big his. Trip build seat.,Sofia Coppola,1.4,2007-11-08,true,friendship
38174,Marriage situation,Animation,Japanese,114,Month drive manager that. Stuff daughter service live better more attack. Church night financial hard prove arrive.,Wes Anderson,3.2,2017-11-02,false,revenge
38175,Because almost huge,"Sci-Fi, Animation",French,132,Well rest risk describe because. Own option couple.,Wes Anderson,6.5,1994-07-07,true,"coming-of-age, revenge, friendship"
38176,Most cultural close,Adventure,Mandarin,172,Now prevent camera yeah. Heart then fund tend alone law. Century quickly major work. Century need our account.,Ava DuVernay,1.5,1991-02-28,true,"dreams, survival, mystery"
38177,The,Romance,Spanish,106,Future however audience general space any choice. Assume including speak line a trade sell.,James Cameron,2.6,2014-08-04,true,"love, heist, dreams"
38178,Yard accept,"Drama, Animation",English,171,Time himself national by sense now. Especially indicate travel north.,Wes Anderson,7.2,2000-07-15,true,"underdog, survival"
38179,None protect,Documentary,English,156,Teach impact do. Once moment other mean mean close.,Jordan Peele,8.9,2008-07-29,true,"love, future"
38180,Long attention,"Romance, Adventure, Horror",Japanese,156,Cost growth expect large sense couple whether. Shake bed program suggest fact generation. Board worry there consider whole.,James Cameron,8.4,2011-10-26,true,heist
38181,Act produce,"Comedy, Sci-Fi, Animation","Mandarin, French",118,Environmental clear alone forward but serious whatever last. Dinner benefit major believe task. Month star generation later performance plan.,Taika Waititi,3.4,1995-01-19,false,"survival, friendship, space"
38182,Road,"Drama, Adventure","Hindi, Japanese",101,Back someone place point. Their account care network clearly nature station teacher. Wait good key land.,Quentin Tarantino,8.7,1983-05-25,true,coming-of-age
38183,Rather,Horror,"Japanese, Korean",102,Receive well price seat leave. Record bag beat fear create begin central.,Ava DuVernay,1.4,2001-06-05,true,love
38184,Leader everyone station,"Adventure, Horror, Sci-Fi","Japanese, French",170,Strong mission south under traditional. Street attorney what discussion.,Steven Spielberg,4.4,2002-07-02,true,crime
38185,Difference,Adventure,"French, Korean",164,Get western oil small practice long heavy. See defense too land.,Martin Scorsese,3.0,1994-09-09,true,"survival, crime"
38186,Church mouth,Romance,"Hindi, Spanish",81,Company floor look according.,Jordan Peele,3.0,1993-10-18,true,"time travel, family, friendship"
38187,Long look unit fish,Adventure,"French, Japanese",160,Economic region until international fast generation.,Greta Gerwig,6.9,2022-04-28,false,"time travel, survival, family"
38188,Involve difficult fine,"Sci-Fi, Animation, Documentary",Korean,156,Window human statement green. Participant herself contain among back wall. Door paper force raise relate and factor.,Taika Waititi,6.2,1982-08-31,true,"revenge, time travel"
38189,Performance fine really buy,"Adventure, Thriller",Spanish,81,Water arm line recognize green interview drug. Hope raise break.,Greta Gerwig,5.6,2002-10-01,true,"family, war"
38190,Receive arrive do,"Documentary, Action, Sci-Fi",English,112,Dark despite agency certain upon TV course. Draw type of sing return more.,Christopher Nolan,8.6,1987-06-21,true,"revenge, family"
38191,Brother,Romance,"Hindi, Korean",155,Yard attorney may college wear rock pay give. Effect hope sea decision others husband magazine. Sell kind good you write anyone hospital. Play me agree play.,James Cameron,8.7,2014-11-22,true,"friendship, time travel"
38192,Human bank,"Comedy, Thriller","Spanish, French",90,Meet seat less stock. Air the especially father receive radio our. Wrong evidence whether firm avoid rest.,Wes Anderson,7.0,1993-12-13,true,heist
38193,Try should blood responsibility,Horror,"Japanese, Hindi",110,Economic high news paper thousand teach. Increase enough road end early care. Cell early degree. Break these behind mean now individual matter art.,Quentin Tarantino,8.9,1980-12-15,true,war
38194,Attorney avoid,"Drama, Adventure",English,154,And heart own data front affect. Drop several recent message behavior order.,Bong Joon-ho,3.4,1994-05-30,true,"heist, coming-of-age"
38195,Scientist clearly,"Thriller, Comedy",Korean,85,Foreign because information less attack young. Free approach take allow society car. Itself state sea six last low sound.,Quentin Tarantino,6.5,2022-03-07,true,mystery
38196,Look large can,"Romance, Documentary, Sci-Fi",English,108,Daughter give and take long ability tree. Subject draw morning professional.,Greta Gerwig,3.3,2026-04-17,true,"family, space, mystery"
38197,Possible sound total,Horror,Spanish,147,Town meet per although level. Behavior why item think car put. Fill state age score.,Sofia Coppola,5.2,2007-09-24,true,"underdog, love, mystery"
38198,Check finish,"Horror, Adventure",Japanese,115,Unit financial candidate stop. Week close plant example bar federal.,Steven Spielberg,5.1,1992-10-03,false,"dreams, revenge"
38199,Sometimes today later,"Horror, Documentary, Comedy",English,157,Medical reduce myself find why cultural. Serve Republican service table or crime director. Garden indicate tonight rather deal event.,Sofia Coppola,1.0,2021-11-18,true,"future, space"
38200,Must career PM,Adventure,"French, German",166,Place wind brother collection under determine join.,Wes Anderson,4.0,2023-08-18,false,"coming-of-age, survival"
38201,High,"Action, Romance, Horror","English, Japanese",168,Machine great share water choice. Moment shoulder girl fish sit maybe question lawyer.,Christopher Nolan,9.6,2002-01-11,false,"dreams, space, future"
38202,Hair,"Horror, Animation",French,98,Whether teach lead close I natural east. Member truth add government design. Firm station cut reduce far.,Greta Gerwig,6.4,2002-09-25,true,"family, survival"
38203,Oil nice,Action,"Korean, French",160,Air start science.,Bong Joon-ho,4.3,2010-04-16,true,dreams
38204,Local conference resource home,"Documentary, Romance",English,146,Among born food collection. Buy several fight for.,Jordan Peele,4.2,1992-09-22,true,future
38205,Painting able,Sci-Fi,"Japanese, German",149,Available daughter respond kid skin authority particularly.,Steven Spielberg,2.6,2011-08-19,true,"friendship, time travel"
38206,Energy serious so,Animation,"French, Spanish",123,Newspaper lose top just. Protect cost prepare quality trial personal. Hospital our show cover house.,Martin Scorsese,7.6,2010-05-15,true,dreams
38207,World term he community,Thriller,"German, English",150,Example health break require up adult street final. Couple office know church. Fund know option word wife.,James Cameron,8.9,2019-06-20,true,"future, heist"
38208,Often person gun nice,"Romance, Documentary",Korean,160,Network skin today game actually. Among drug list wait.,Jordan Peele,7.9,2019-09-11,true,"coming-of-age, war, revenge"
38209,Wait oil current,"Animation, Action","French, English",127,How fire chance factor million cause. Hold sister growth kind security leg. Marriage edge my not choose wife plan.,Sofia Coppola,7.7,2022-04-04,true,"war, future, heist"
